AIRPORT_ID,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC_SEQ_ID2,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,LAT_DEGREES,LAT_HEMISPHERE,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST
10001,Afognak Lake Airport,"Afognak Lake, AK",101,United States,US,Alaska,58,N,6,34,58.10944444,152,W,54,24,-152.90666667,7/1/2007 12:00:00 AM,,0,1
10003,Bear Creek Mining Strip,"Granite Mountain, AK",101,United States,US,Alaska,65,N,32,53,65.54805556,161,W,4,18,-161.07166667,7/1/2007 12:00:00 AM,,0,1
10004,Lik Mining Camp,"Lik, AK",101,United States,US,Alaska,68,N,5,0,68.08333333,163,W,10,0,-163.16666667,7/1/2007 12:00:00 AM,,0,1
10005,Little Squaw Airport,"Little Squaw, AK",101,United States,US,Alaska,67,N,34,12,67.57000000,148,W,11,2,-148.18388889,8/1/2007 12:00:00 AM,,0,1
10006,Kizhuyak Bay,"Kizhuyak, AK",101,United States,US,Alaska,57,N,44,43,57.74527778,152,W,52,58,-152.88277778,10/1/2007 12:00:00 AM,,0,1
10007,Klawock Seaplane Base,"Klawock, AK",101,United States,US,Alaska,55,N,33,17,55.55472222,133,W,6,6,-133.10166667,4/1/2008 12:00:00 AM,,0,1
10008,Elizabeth Island Airport,"Elizabeth Island, AK",101,United States,US,Alaska,59,N,9,25,59.15694444,151,W,49,45,-151.82916667,6/1/2008 12:00:00 AM,,0,1
10009,Augustin Island,"Homer, AK",101,United States,US,Alaska,59,N,21,46,59.36277778,153,W,25,50,-153.43055556,6/1/2008 12:00:00 AM,,0,1
10010,Columbia County,"Hudson, NY",2201,United States,US,New York,42,N,17,20,42.28888889,73,W,42,37,-73.71027778,4/1/2009 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
10010,Columbia County,"Hudson, NY",2201,United States,US,New York,42,N,17,29,42.29138889,73,W,42,37,-73.71027778,7/1/2011 12:00:00 AM,,0,1
10011,Grand Canyon West,"Peach Springs, AZ",8101,United States,US,Arizona,35,N,59,10,35.98611111,113,W,49,1,-113.81694444,10/1/2011 12:00:00 AM,10/31/2017 12:00:00 AM,0,0
10011,Grand Canyon West,"Peach Springs, AZ",8101,United States,US,Arizona,35,N,59,10,35.98611111,113,W,49,1,-113.81694444,12/1/2017 12:00:00 AM,,0,1
10011,Grand Canyon West,"Peach Springs, AZ",8101,United States,US,Arizona,35,N,59,25,35.99027778,113,W,48,59,-113.81638889,7/1/2008 12:00:00 AM,9/30/2011 12:00:00 AM,0,0
10011,Grand Canyon West,"Peach Springs, AZ",8101,United States,US,Arizona,35,N,59,25,35.99027778,113,W,48,59,-113.81638889,11/1/2017 12:00:00 AM,11/30/2017 12:00:00 AM,0,0
10012,Blairstown Airport,"Blairstown, NJ",2101,United States,US,New Jersey,40,N,58,16,40.97111111,74,W,59,51,-74.99750000,7/1/2008 12:00:00 AM,,0,1
10013,Crosbyton Municipal,"Crosbyton, TX",7401,United States,US,Texas,33,N,37,26,33.62388889,101,W,14,27,-101.24083333,1/1/2009 12:00:00 AM,,0,1
10014,Blair Lake,"Fairbanks/Ft. Wainwright, AK",101,United States,US,Alaska,64,N,21,49,64.36361111,147,W,21,50,-147.36388889,7/1/2011 12:00:00 AM,6/30/2025 12:00:00 AM,0,0
10014,Blair Lake,"Fairbanks/Ft. Wainwright, AK",101,United States,US,Alaska,64,N,21,49,64.36361111,147,W,21,55,-147.36527778,7/1/2025 12:00:00 AM,,0,1
10014,Blair Lake,"Fairbanks/Ft. Wainwright, AK",101,United States,US,Alaska,64,N,21,51,64.36416667,147,W,21,41,-147.36138889,10/1/2002 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
10015,Deadmans Bay Airport,"Deadmans Bay, AK",101,United States,US,Alaska,57,N,4,0,57.06666667,153,W,56,16,-153.93777778,6/1/2002 12:00:00 AM,,0,1
10016,Hallo Bay Airport,"Hallo Bay, AK",101,United States,US,Alaska,58,N,27,27,58.45750000,154,W,1,24,-154.02333333,4/1/2002 12:00:00 AM,,0,1
10017,Red Lake Airport,"Red Lake, AK",101,United States,US,Alaska,57,N,16,38,57.27722222,154,W,20,32,-154.34222222,9/1/2002 12:00:00 AM,,0,1
10018,Shell Lake Airport,"Shell Lake, AK",101,United States,US,Alaska,61,N,57,50,61.96388889,151,W,33,21,-151.55583333,11/1/2002 12:00:00 AM,,0,1
10019,Navigator Airstrip,"Kougarok, AK",101,United States,US,Alaska,65,N,39,20,65.65555556,165,W,21,23,-165.35638889,6/1/2002 12:00:00 AM,,0,1
10020,Roland Norton Memorial,"Selawik, AK",101,United States,US,Alaska,66,N,45,58,66.76611111,160,W,9,10,-160.15277778,7/1/2011 12:00:00 AM,,0,1
10020,Roland Norton Memorial Airstrip,"Selawik, AK",101,United States,US,Alaska,66,N,45,57,66.76583333,160,W,9,9,-160.15250000,12/1/2002 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
10021,Pillar Bay Airport,"Pillar Bay, AK",101,United States,US,Alaska,56,N,35,53,56.59805556,134,W,14,34,-134.24277778,1/1/1950 12:00:00 AM,,0,1
10022,Johnstone Point Airport,"Johnstone Point, AK",101,United States,US,Alaska,60,N,28,53,60.48138889,146,W,34,56,-146.58222222,7/1/1974 12:00:00 AM,12/31/2002 12:00:00 AM,0,0
10022,Johnstone Point Airport,"Johnstone Point, AK",101,United States,US,Alaska,60,N,28,54,60.48166667,146,W,35,3,-146.58416667,12/1/2013 12:00:00 AM,10/31/2017 12:00:00 AM,0,0
10022,Johnstone Point Airport,"Johnstone Point, AK",101,United States,US,Alaska,60,N,28,54,60.48166667,146,W,35,3,-146.58416667,12/1/2017 12:00:00 AM,,0,1
10022,Johnstone Point Airport,"Johnstone Point, AK",101,United States,US,Alaska,60,N,28,56,60.48222222,146,W,34,56,-146.58222222,1/1/2003 12:00:00 AM,11/30/2013 12:00:00 AM,0,0
10022,Johnstone Point Airport,"Johnstone Point, AK",101,United States,US,Alaska,60,N,28,56,60.48222222,146,W,34,56,-146.58222222,11/1/2017 12:00:00 AM,11/30/2017 12:00:00 AM,0,0
10023,Tikchik Lodge Airport,"Tikchik Lodge, AK",101,United States,US,Alaska,59,N,57,20,59.95555556,158,W,28,50,-158.48055556,1/1/1950 12:00:00 AM,11/30/2002 12:00:00 AM,0,0
10023,Tikchik Lodge Airport,"Tikchik Lodge, AK",101,United States,US,Alaska,59,N,57,20,59.95555556,158,W,28,50,-158.48055556,12/1/2002 12:00:00 AM,,0,1
10024,Bell Creek Airport,"Bell Creek, AK",101,United States,US,Alaska,60,N,47,2,60.78388889,159,W,32,25,-159.54027778,12/1/2002 12:00:00 AM,,0,1
10025,Cinnabar Airport,"Cinnabar, AK",101,United States,US,Alaska,60,N,47,7,60.78527778,158,W,51,52,-158.86444444,12/1/2002 12:00:00 AM,,0,1
10026,Mountaintop Mine Airport,"Mountaintop Mine, AK",101,United States,US,Alaska,61,N,23,25,61.39027778,157,W,59,44,-157.99555556,12/1/2002 12:00:00 AM,,0,1
10027,Whitebear Airport,"Whitebear, AK",101,United States,US,Alaska,61,N,11,20,61.18888889,159,W,51,30,-159.85833333,12/1/2002 12:00:00 AM,,0,1
10028,Puviaq Airport,"Puviaq, AK",101,United States,US,Alaska,70,N,42,56,70.71555556,154,W,24,25,-154.40694444,7/1/2011 12:00:00 AM,2/28/2013 12:00:00 AM,1,1
10028,Puviaq Airport,"Puviaq, AK",101,United States,US,Alaska,70,N,43,7,70.71861111,154,W,23,18,-154.38833333,2/1/2003 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
10029,Arley Lake Airport,"Arley Lake, AK",101,United States,US,Alaska,70,N,44,49,70.74694444,155,W,21,39,-155.36083333,3/1/2003 12:00:00 AM,,0,1
10030,Port Vita Airport,"Port Vita, AK",101,United States,US,Alaska,58,N,3,56,58.06555556,153,W,4,21,-153.07250000,9/1/2002 12:00:00 AM,,0,1
10031,Kantishna Airport,"Kantishna, AK",101,United States,US,Alaska,63,N,32,28,63.54111111,150,W,59,42,-150.99500000,12/1/2015 12:00:00 AM,10/31/2017 12:00:00 AM,0,0
10031,Kantishna Airport,"Kantishna, AK",101,United States,US,Alaska,63,N,32,28,63.54111111,150,W,59,42,-150.99500000,12/1/2017 12:00:00 AM,,0,1
