RANK,AIRPORT_ID,AIRPORT_CODE,AIRPORT_NAME,CITY,DEPARTURES,ARRIVALS,TOTAL_THROUGHPUT
1,11298,DFW,Dallas/Fort Worth International,"Dallas/Fort Worth, TX",25124,25125,50249
2,11292,DEN,Denver International,"Denver, CO",24732,24740,49472
3,10397,ATL,Hartsfield-Jackson Atlanta International,"Atlanta, GA",23881,23881,47762
4,13930,ORD,Chicago O'Hare International,"Chicago, IL",21643,21641,43284
5,11057,CLT,Charlotte Douglas International,"Charlotte, NC",16877,16883,33760
6,14107,PHX,Phoenix Sky Harbor International,"Phoenix, AZ",15956,15949,31905
7,12892,LAX,Los Angeles International,"Los Angeles, CA",15157,15143,30300
8,12889,LAS,Harry Reid International,"Las Vegas, NV",15007,15004,30011
9,13204,MCO,Orlando International,"Orlando, FL",13058,13052,26110
10,14747,SEA,Seattle/Tacoma International,"Seattle, WA",11882,11893,23775
11,11278,DCA,Ronald Reagan Washington National,"Washington, DC",11734,11740,23474
12,12953,LGA,LaGuardia,"New York, NY",10905,10909,21814
13,14771,SFO,San Francisco International,"San Francisco, CA",10839,10832,21671
14,10721,BOS,Logan International,"Boston, MA",10624,10622,21246
15,13303,MIA,Miami International,"Miami, FL",10182,10184,20366
16,11618,EWR,Newark Liberty International,"Newark, NJ",10144,10139,20283
17,14869,SLC,Salt Lake City International,"Salt Lake City, UT",9350,9347,18697
18,11433,DTW,Detroit Metro Wayne County,"Detroit, MI",9253,9254,18507
19,12266,IAH,George Bush Intercontinental/Houston,"Houston, TX",9250,9257,18507
20,13487,MSP,Minneapolis-St Paul International,"Minneapolis, MN",8483,8480,16963
21,12478,JFK,John F. Kennedy International,"New York, NY",8327,8325,16652
22,11697,FLL,Fort Lauderdale-Hollywood International,"Fort Lauderdale, FL",7892,7887,15779
23,10693,BNA,Nashville International,"Nashville, TN",7404,7397,14801
24,14679,SAN,San Diego International,"San Diego, CA",7189,7189,14378
25,10821,BWI,Baltimore/Washington International Thurgood Marshall,"Baltimore, MD",7094,7092,14186
26,14100,PHL,Philadelphia International,"Philadelphia, PA",6688,6688,13376
27,15304,TPA,Tampa International,"Tampa, FL",6454,6456,12910
28,10423,AUS,Austin - Bergstrom International,"Austin, TX",6142,6144,12286
29,11259,DAL,Dallas Love Field,"Dallas, TX",5755,5754,11509
30,13232,MDW,Chicago Midway International,"Chicago, IL",5189,5188,10377
31,12173,HNL,Daniel K Inouye International,"Honolulu, HI",5164,5165,10329
32,15016,STL,St Louis Lambert International,"St. Louis, MO",4717,4716,9433
33,14057,PDX,Portland International,"Portland, OR",4401,4402,8803
34,13495,MSY,Louis Armstrong New Orleans International,"New Orleans, LA",4207,4206,8413
35,14492,RDU,Raleigh-Durham International,"Raleigh/Durham, NC",4205,4202,8407
36,14893,SMF,Sacramento International,"Sacramento, CA",4148,4151,8299
37,12191,HOU,William P Hobby,"Houston, TX",4122,4118,8240
38,12264,IAD,Washington Dulles International,"Washington, DC",4008,4008,8016
39,14831,SJC,Norman Y. Mineta San Jose International,"San Jose, CA",3697,3694,7391
40,14635,RSW,Southwest Florida International,"Fort Myers, FL",3562,3560,7122
41,12339,IND,Indianapolis International,"Indianapolis, IN",3485,3488,6973
42,13198,MCI,Kansas City International,"Kansas City, MO",3481,3483,6964
43,14908,SNA,John Wayne Airport-Orange County,"Santa Ana, CA",3478,3478,6956
44,11066,CMH,John Glenn Columbus International,"Columbus, OH",3283,3285,6568
45,14843,SJU,Luis Munoz Marin International,"San Juan, PR",3208,3199,6407
46,14683,SAT,San Antonio International,"San Antonio, TX",3100,3098,6198
47,14122,PIT,Pittsburgh International,"Pittsburgh, PA",3071,3067,6138
48,14027,PBI,Palm Beach International,"West Palm Beach/Palm Beach, FL",2945,2941,5886
49,11042,CLE,Cleveland-Hopkins International,"Cleveland, OH",2924,2927,5851
50,13796,OAK,Oakland International,"Oakland, CA",2868,2870,5738
51,11193,CVG,Cincinnati/Northern Kentucky International,"Cincinnati, OH",2405,2408,4813
52,10800,BUR,Bob Hope,"Burbank, CA",2344,2344,4688
53,13830,OGG,Kahului Airport,"Kahului, HI",2237,2236,4473
54,12451,JAX,Jacksonville International,"Jacksonville, FL",2238,2234,4472
55,13891,ONT,Ontario International,"Ontario, CA",1941,1944,3885
56,13342,MKE,General Mitchell International,"Milwaukee, WI",1929,1931,3860
57,13871,OMA,Eppley Airfield,"Omaha, NE",1887,1886,3773
58,15376,TUS,Tucson International,"Tucson, AZ",1866,1867,3733
